Room Number,Appliance Type,Issue Reported,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2056,Hair Dryer,Unresponsive,9/17/2024,4352,272,16,2017,2019
2024,Mini Fridge,Overheating,1/31/2023,4375,868,5,2018,2020
2014,Hair Dryer,Noisy,1/2/2023,836,897,1,2014,2016
2147,Air Conditioner,Low performance,4/22/2025,3030,56,24,2017,2022
2129,Hair Dryer,Overheating,2/4/2024,1613,499,3,2018,2020
2126,Coffee Maker,Unresponsive,8/16/2024,3096,304,11,2019,2022
2131,Hair Dryer,Overheating,1/18/2023,4232,880,5,2019,2021
2006,Air Conditioner,Noisy,4/19/2025,3210,59,24,2022,2027
2089,Television,Flickering,5/14/2024,4193,399,10,2019,2023
2129,Heater,Not working,3/16/2023,1131,824,1,2015,2018
2036,Lamp,Low performance,2/21/2023,3503,847,3,2024,2026
2116,Lamp,Unresponsive,4/11/2024,4707,432,10,2018,2020
2097,Heater,Not working,4/14/2025,2561,64,24,2021,2024
2042,Coffee Maker,Unresponsive,2/27/2025,3349,110,24,2018,2021
2057,Heater,Flickering,10/11/2023,1170,615,2,2015,2018
2049,Heater,Flickering,4/25/2023,918,783,1,2016,2019
2069,Air Conditioner,Not working,2/17/2024,529,486,1,2018,2023
2078,Air Conditioner,Overheating,9/1/2023,1932,655,3,2022,2027
2009,Mini Fridge,Not working,5/1/2025,2384,47,24,2021,2023
2006,Air Conditioner,Not working,9/26/2024,2891,264,11,2014,2019
2102,Air Conditioner,Low performance,3/12/2024,4472,462,9,2022,2027
2111,Air Conditioner,Not working,3/9/2024,4908,464,11,2024,2029
2115,Television,Noisy,7/9/2023,2939,708,4,2014,2018
2074,Television,Low performance,1/5/2023,3270,894,4,2016,2020
2030,Television,Low performance,7/31/2023,4857,686,7,2024,2028
2128,Coffee Maker,Noisy,1/25/2025,4920,143,24,2016,2019
2135,Mini Fridge,Unresponsive,1/31/2024,2718,503,6,2021,2025
2075,Hair Dryer,Noisy,7/27/2024,1069,325,4,2017,2019
2075,Mini Fridge,Overheating,12/7/2024,448,191,3,2022,2024
2039,Hair Dryer,Overheating,12/13/2024,3455,185,20,2021,2023
2058,Lamp,Unresponsive,2/6/2025,2412,131,16,2018,2020
2145,Lamp,Not working,10/11/2024,2724,249,11,2023,2025
2120,Television,Not working,3/26/2025,3662,83,24,2015,2019
2150,Hair Dryer,Leaking,2/26/2024,486,476,1,2021,2023
2064,Coffee Maker,Flickering,12/9/2023,885,555,1,2018,2021
2092,Coffee Maker,Noisy,11/18/2023,2163,576,3,2020,2023
2046,Lamp,Overheating,3/14/2023,4580,825,6,2018,2020
2111,Lamp,Leaking,4/11/2024,4189,431,10,2016,2018
2047,Coffee Maker,Flickering,5/15/2025,1949,32,24,2019,2022
2121,Television,Overheating,10/4/2023,4454,621,7,2022,2026
2079,Lamp,Flickering,5/25/2025,1689,22,24,2018,2020
2021,Heater,Low performance,12/15/2023,1480,550,3,2015,2018
2090,Lamp,Unresponsive,6/29/2024,750,352,2,2017,2019
2005,Heater,Not working,11/27/2024,1100,201,6,2018,2021
2007,Television,Unresponsive,5/16/2023,2785,763,4,2024,2028
2038,Coffee Maker,Overheating,2/21/2023,600,846,1,2015,2018
2044,Lamp,Not working,4/3/2025,4479,75,24,2020,2022
2072,Hair Dryer,Noisy,4/25/2025,2831,52,24,2022,2024
2058,Hair Dryer,Not working,10/18/2024,565,241,3,2014,2016
2093,Heater,Overheating,10/19/2023,4128,607,7,2014,2017
2139,Lamp,Noisy,6/17/2024,4451,365,12,2022,2024
2098,Hair Dryer,Flickering,12/26/2023,1384,538,3,2020,2022
2044,Television,Low performance,1/15/2024,2615,519,5,2022,2026
2141,Air Conditioner,Not working,3/1/2023,2084,839,3,2024,2029
2074,Mini Fridge,Flickering,2/11/2025,4079,126,24,2023,2025
2145,Lamp,Overheating,8/31/2024,4905,290,16,2019,2021
2071,Air Conditioner,Leaking,3/6/2024,2426,468,5,2015,2020
2042,Air Conditioner,Noisy,12/17/2024,3996,181,19,2021,2026
2030,Mini Fridge,Low performance,9/27/2023,5013,629,8,2016,2018
2093,Mini Fridge,Not working,11/20/2023,1454,575,2,2023,2026
2104,Mini Fridge,Low performance,3/1/2023,4356,838,5,2015,2019
2052,Hair Dryer,Not working,10/15/2024,4016,244,17,2021,2023
2103,Hair Dryer,Overheating,1/6/2023,3506,893,4,2019,2021
2106,Air Conditioner,Overheating,11/17/2023,2677,578,5,2023,2028
2105,Television,Noisy,7/29/2023,579,688,1,2018,2022
2078,Television,Leaking,5/19/2024,2915,393,8,2015,2019
2090,Air Conditioner,Overheating,2/16/2025,3054,121,24,2016,2021
2144,Television,Noisy,6/14/2023,688,734,2,2018,2022
2056,Television,Low performance,5/13/2023,3989,765,5,2015,2019
2011,Mini Fridge,Low performance,4/12/2025,1845,65,23,2014,2019
2076,Coffee Maker,Not working,4/6/2023,3848,802,5,2023,2026
2034,Air Conditioner,Noisy,12/21/2024,1186,177,6,2021,2026
2112,Hair Dryer,Overheating,1/17/2023,1155,881,2,2018,2020
2060,Mini Fridge,Leaking,12/13/2024,2921,185,15,2022,2026
2029,Air Conditioner,Leaking,12/24/2024,4713,174,24,2017,2022
2078,Heater,Noisy,6/11/2025,2507,5,24,2019,2022
2110,Coffee Maker,Overheating,4/9/2023,4313,799,5,2021,2024
2024,Lamp,Low performance,7/30/2023,3467,688,5,2014,2016
2089,Lamp,Overheating,7/5/2023,690,713,1,2021,2023
2067,Mini Fridge,Low performance,2/6/2025,2567,131,21,2016,2021
2050,Hair Dryer,Not working,3/23/2025,943,86,11,2019,2021
2006,Coffee Maker,Low performance,10/14/2023,3418,611,5,2023,2026
2045,Lamp,Leaking,4/14/2024,733,429,1,2022,2024
2077,Hair Dryer,Noisy,1/20/2025,4234,147,24,2022,2024
2076,Coffee Maker,Unresponsive,9/5/2024,844,285,2,2021,2024
2047,Air Conditioner,Leaking,5/15/2024,4665,398,12,2019,2024
2021,Hair Dryer,Unresponsive,8/9/2024,2314,311,7,2017,2019
2092,Lamp,Overheating,3/8/2024,3882,465,8,2021,2023
2038,Heater,Leaking,4/20/2023,2873,788,4,2021,2024
2147,Heater,Not working,12/14/2023,4424,551,8,2017,2020
2120,Heater,Noisy,10/1/2023,850,625,1,2021,2024
2150,Lamp,Low performance,2/26/2025,1972,110,14,2024,2026
2039,Hair Dryer,Leaking,11/2/2024,3669,227,17,2022,2024
2110,Air Conditioner,Leaking,5/2/2024,2191,410,5,2022,2027
2057,Air Conditioner,Low performance,4/14/2024,679,429,1,2014,2019
2088,Mini Fridge,Overheating,3/29/2024,3729,445,8,2020,2022
2062,Hair Dryer,Unresponsive,11/25/2024,670,203,4,2022,2024
2020,Heater,Noisy,11/26/2023,816,568,1,2019,2022
2116,Hair Dryer,Noisy,11/5/2024,2121,224,11,2014,2016
2129,Mini Fridge,Leaking,1/6/2023,2763,893,3,2024,2029
2133,Hair Dryer,Noisy,11/5/2023,4286,589,8,2019,2021
2145,Lamp,Noisy,6/16/2025,2385,1,24,2018,2020
2095,Television,Not working,1/14/2023,3263,885,4,2024,2028
2106,Lamp,Overheating,10/30/2024,3585,229,14,2020,2022
2091,Lamp,Flickering,4/12/2024,4328,430,11,2022,2024
2025,Lamp,Not working,7/26/2024,4646,325,15,2016,2018
2066,Heater,Leaking,9/20/2023,2931,636,5,2022,2025
2046,Hair Dryer,Leaking,5/21/2024,4474,392,12,2023,2025
2104,Coffee Maker,Leaking,7/6/2023,4512,712,6,2022,2025
2132,Air Conditioner,Leaking,3/14/2025,3018,94,24,2014,2019
2074,Coffee Maker,Overheating,7/4/2023,3050,714,4,2016,2019
2045,Lamp,Unresponsive,6/13/2024,4070,368,10,2023,2025
2040,Heater,Leaking,6/6/2023,4574,741,6,2018,2021
2007,Heater,Noisy,4/16/2024,2756,427,8,2020,2023
2046,Coffee Maker,Unresponsive,3/18/2025,4428,90,23,2018,2021
2049,Television,Overheating,12/9/2023,1003,555,1,2024,2028
2103,Television,Noisy,9/4/2023,2559,652,4,2017,2021
2112,Air Conditioner,Flickering,6/24/2024,4285,357,11,2021,2026
2053,Heater,Overheating,7/16/2024,3338,335,10,2014,2017
2006,Coffee Maker,Overheating,12/8/2023,1581,557,3,2015,2018
2008,Heater,Flickering,11/15/2023,1094,580,2,2022,2025
2135,Coffee Maker,Flickering,3/27/2023,1591,812,2,2024,2027
2041,Heater,Unresponsive,4/10/2024,1950,432,5,2022,2025
2125,Air Conditioner,Flickering,11/30/2024,1416,198,7,2015,2020
2008,Lamp,Low performance,2/4/2024,3608,499,8,2020,2022
2011,Air Conditioner,Not working,3/17/2025,1081,92,13,2020,2025
2027,Air Conditioner,Not working,3/8/2025,3441,100,24,2020,2025
2133,Television,Flickering,6/13/2024,721,369,2,2018,2022
2136,Heater,Noisy,4/7/2023,845,802,1,2023,2026
2033,Air Conditioner,Overheating,6/2/2025,4842,15,24,2015,2020
2062,Mini Fridge,Noisy,4/25/2024,678,417,2,2024,2029
2005,Heater,Not working,6/12/2025,2378,4,24,2023,2026
2133,Coffee Maker,Low performance,4/16/2025,2961,61,24,2019,2022
2104,Heater,Unresponsive,8/14/2023,2768,672,5,2021,2024
2084,Mini Fridge,Flickering,9/28/2023,3422,628,6,2018,2021
2104,Hair Dryer,Flickering,5/12/2025,584,35,15,2023,2025
2021,Television,Not working,9/14/2023,4867,642,7,2021,2025
2035,Coffee Maker,Not working,6/19/2024,4620,363,12,2016,2019
2124,Mini Fridge,Leaking,7/16/2023,4448,702,6,2015,2017
2014,Television,Noisy,3/17/2025,3788,91,24,2018,2022
2071,Coffee Maker,Noisy,5/26/2025,4474,22,24,2021,2024
2108,Mini Fridge,Noisy,10/27/2023,3940,598,7,2018,2023
2117,Television,Overheating,1/17/2023,2631,882,3,2023,2027
2134,Lamp,Low performance,9/7/2024,2452,282,9,2020,2022
2116,Lamp,Flickering,8/3/2023,2880,684,4,2019,2021
2009,Lamp,Low performance,10/20/2024,4012,239,17,2015,2017
2061,Lamp,Leaking,4/10/2025,3744,68,24,2014,2016
2134,Coffee Maker,Not working,1/11/2023,1003,888,1,2016,2019
2123,Coffee Maker,Flickering,10/22/2023,3429,603,5,2017,2020
2104,Coffee Maker,Unresponsive,9/17/2023,1533,638,2,2023,2026
2001,Air Conditioner,Not working,8/22/2023,2822,665,4,2017,2022
2027,Lamp,Flickering,7/26/2023,991,691,1,2021,2023
2001,Mini Fridge,Flickering,11/14/2024,3561,214,16,2019,2022
2101,Television,Low performance,5/1/2023,5028,778,7,2016,2020
2099,Air Conditioner,Noisy,2/21/2023,1571,846,2,2022,2027
2052,Hair Dryer,Low performance,4/22/2025,4061,56,24,2016,2018
2138,Mini Fridge,Low performance,4/1/2023,3686,808,4,2023,2028
2140,Heater,Not working,12/11/2023,2495,553,4,2014,2017
2137,Hair Dryer,Leaking,5/31/2025,2352,16,24,2015,2017
2049,Hair Dryer,Flickering,3/22/2024,1547,452,4,2022,2024
2098,Television,Overheating,4/15/2024,3235,428,8,2018,2022
2015,Television,Flickering,9/25/2023,483,630,1,2019,2023
2020,Mini Fridge,Leaking,8/16/2024,4810,304,17,2016,2019
2111,Television,Noisy,7/2/2024,4128,349,12,2014,2018
2109,Hair Dryer,Overheating,7/8/2024,600,343,2,2020,2022
2106,Air Conditioner,Noisy,5/16/2023,4823,763,6,2022,2027
2138,Hair Dryer,Low performance,10/28/2024,4760,232,19,2019,2021
2037,Mini Fridge,Noisy,2/11/2024,4333,492,8,2020,2022
2110,Air Conditioner,Not working,12/15/2023,1032,550,2,2018,2023
2116,Lamp,Overheating,1/23/2023,1949,876,2,2019,2021
2099,Coffee Maker,Not working,11/3/2023,785,592,1,2017,2020
2019,Television,Not working,4/16/2025,625,62,9,2015,2019
2137,Air Conditioner,Noisy,6/18/2023,2396,729,3,2023,2028
2005,Coffee Maker,Overheating,1/22/2023,3156,876,4,2017,2020
2068,Lamp,Flickering,11/26/2023,830,568,1,2017,2019
2054,Hair Dryer,Low performance,2/14/2024,3223,489,7,2021,2023
2059,Lamp,Noisy,6/16/2025,4788,1,24,2022,2024
2108,Heater,Flickering,12/27/2024,2924,172,15,2019,2022
2120,Television,Noisy,5/26/2025,1760,21,24,2015,2019
2124,Air Conditioner,Overheating,4/16/2025,2144,61,24,2024,2029
2109,Air Conditioner,Unresponsive,11/21/2023,4076,573,8,2018,2023
2081,Television,Unresponsive,8/12/2024,3221,308,10,2022,2026
2046,Coffee Maker,Leaking,12/2/2024,2446,197,13,2014,2017
2015,Coffee Maker,Noisy,10/21/2023,2577,604,4,2017,2020
2046,Lamp,Leaking,11/1/2024,2815,227,13,2016,2018
2093,Air Conditioner,Leaking,12/10/2023,3925,555,7,2021,2026
2128,Heater,Low performance,2/18/2024,4109,485,9,2023,2026
2027,Air Conditioner,Unresponsive,8/2/2024,4965,318,16,2022,2027
2089,Hair Dryer,Low performance,1/6/2023,2296,893,2,2014,2016
2127,Mini Fridge,Low performance,7/7/2023,2553,710,3,2015,2019
2071,Hair Dryer,Overheating,3/6/2024,2278,468,4,2023,2025
2077,Mini Fridge,Not working,2/24/2023,1261,843,2,2014,2017
2022,Lamp,Noisy,3/19/2023,4072,820,5,2022,2024
2004,Mini Fridge,Unresponsive,4/23/2024,730,420,2,2018,2021
2050,Lamp,Not working,11/24/2023,760,571,2,2020,2022
2130,Hair Dryer,Not working,8/19/2023,3200,668,4,2019,2021
2074,Heater,Unresponsive,3/31/2023,2530,809,2,2024,2027
2090,Television,Not working,4/9/2023,829,800,1,2024,2028
2148,Hair Dryer,Flickering,1/25/2023,622,874,1,2019,2021
2073,Lamp,Overheating,12/4/2024,3197,195,15,2024,2026
2074,Coffee Maker,Noisy,5/2/2023,1145,776,2,2015,2018
2014,Television,Not working,4/18/2024,1932,425,4,2017,2021
2121,Air Conditioner,Low performance,1/28/2023,4491,871,6,2016,2021
2102,Lamp,Noisy,4/20/2023,4726,788,7,2016,2018
2090,Mini Fridge,Not working,4/15/2025,2773,62,24,2024,2027
2063,Air Conditioner,Not working,5/8/2024,2463,404,6,2022,2027
2130,Air Conditioner,Leaking,10/3/2023,800,623,2,2022,2027
2011,Television,Not working,1/9/2024,1252,524,2,2021,2025
2022,Air Conditioner,Noisy,6/26/2023,2463,722,3,2014,2019
2065,Mini Fridge,Noisy,11/27/2023,4868,567,9,2020,2025
2091,Coffee Maker,Not working,4/22/2025,718,55,18,2021,2024
2023,Air Conditioner,Noisy,8/25/2023,799,662,1,2021,2026
2091,Air Conditioner,Noisy,2/28/2025,581,109,6,2020,2025
2080,Hair Dryer,Leaking,12/11/2024,1730,188,8,2016,2018
2132,Lamp,Leaking,11/12/2024,1361,216,6,2024,2026
2006,Heater,Unresponsive,8/5/2023,732,681,1,2018,2021
2006,Television,Not working,9/14/2023,4243,642,6,2024,2028
2107,Heater,Overheating,12/3/2023,4505,562,8,2014,2017
2129,Heater,Flickering,1/21/2023,4733,878,5,2016,2019
2062,Television,Low performance,2/20/2025,1383,117,10,2022,2026
2106,Hair Dryer,Overheating,10/7/2023,500,619,1,2021,2023
2072,Hair Dryer,Overheating,2/3/2024,482,500,1,2016,2018
2027,Heater,Noisy,4/1/2025,4289,76,24,2022,2025
2100,Heater,Not working,1/2/2023,629,897,1,2023,2026
2108,Lamp,Overheating,11/1/2024,661,227,3,2017,2019
2075,Lamp,Noisy,1/17/2023,2500,881,3,2020,2022
2091,Coffee Maker,Leaking,6/27/2023,4896,721,7,2014,2017
2131,Heater,Not working,7/23/2024,994,329,4,2017,2020
2109,Coffee Maker,Low performance,11/2/2023,3915,592,6,2023,2026
2068,Television,Overheating,4/19/2023,2600,790,3,2018,2022
2107,Coffee Maker,Flickering,4/15/2025,3896,63,24,2015,2018
2145,Television,Noisy,11/6/2023,4121,588,6,2020,2024
2060,Television,Not working,5/21/2023,4528,757,5,2021,2025
2013,Mini Fridge,Noisy,1/30/2024,3576,504,7,2022,2027
2004,Air Conditioner,Unresponsive,2/27/2024,4144,475,9,2019,2024
2083,Air Conditioner,Not working,5/7/2024,3318,406,8,2017,2022
2101,Heater,Low performance,1/4/2023,1673,894,2,2019,2022
2143,Hair Dryer,Flickering,5/20/2023,3613,758,4,2021,2023
2145,Mini Fridge,Unresponsive,1/20/2024,4227,514,8,2024,2027
2076,Hair Dryer,Flickering,9/4/2023,1788,651,2,2015,2017
2060,Heater,Low performance,6/16/2025,2749,1,24,2015,2018
2131,Hair Dryer,Noisy,2/27/2024,2923,476,6,2016,2018
2123,Coffee Maker,Overheating,10/25/2023,599,601,1,2020,2023
2012,Mini Fridge,Low performance,4/23/2024,1515,420,4,2023,2026
2116,Heater,Leaking,5/22/2024,2195,390,6,2019,2022
2118,Air Conditioner,Unresponsive,9/5/2024,623,285,2,2020,2025
2132,Lamp,Flickering,1/6/2025,1476,162,9,2015,2017
2047,Air Conditioner,Leaking,3/27/2025,4413,81,24,2016,2021
2149,Heater,Flickering,2/14/2023,631,854,1,2023,2026
2131,Television,Flickering,6/14/2023,2773,734,4,2024,2028
2078,Lamp,Leaking,2/2/2023,3138,865,3,2018,2020
2117,Hair Dryer,Flickering,6/16/2023,2760,732,4,2024,2026
2091,Television,Unresponsive,8/2/2023,3213,685,4,2024,2028
2026,Lamp,Flickering,5/3/2025,3861,44,24,2020,2022
2103,Television,Overheating,6/3/2024,584,379,2,2024,2028
2150,Air Conditioner,Leaking,5/18/2024,14304,395,24,2022,2027
2007,Television,Overheating,2/16/2025,709,121,7,2016,2020
2013,Television,Unresponsive,5/15/2025,2126,33,24,2015,2019
2108,Hair Dryer,Noisy,8/16/2024,1836,304,7,2018,2020
2046,Television,Not working,6/8/2024,2134,373,6,2024,2028
2107,Heater,Leaking,1/30/2024,989,504,2,2015,2018
2097,Mini Fridge,Overheating,11/24/2024,1452,205,7,2014,2016
2073,Television,Low performance,1/15/2023,700,883,1,2021,2025
2067,Lamp,Low performance,5/1/2024,2214,412,5,2021,2023
2048,Heater,Noisy,12/22/2023,3013,542,5,2018,2021
2024,Mini Fridge,Unresponsive,1/20/2024,2898,514,6,2016,2019
2140,Mini Fridge,Not working,4/20/2024,3218,422,8,2016,2021
2141,Hair Dryer,Overheating,5/6/2024,4131,406,11,2024,2026
2121,Heater,Low performance,4/7/2023,785,801,1,2023,2026
2026,Air Conditioner,Flickering,7/9/2023,506,709,1,2018,2023
2106,Air Conditioner,Overheating,11/26/2023,1997,569,3,2022,2027
2081,Heater,Low performance,5/4/2024,2794,409,8,2021,2024
2130,Mini Fridge,Unresponsive,12/24/2024,4097,175,24,2023,2025
2138,Hair Dryer,Not working,3/5/2025,4026,104,24,2018,2020
2000,Air Conditioner,Flickering,10/24/2023,4810,601,8,2023,2028
2013,Hair Dryer,Overheating,6/4/2025,1462,12,23,2018,2020
2136,Hair Dryer,Noisy,2/15/2024,857,488,1,2016,2018
2005,Lamp,Low performance,12/1/2024,3529,197,18,2014,2016
2081,Lamp,Low performance,2/7/2025,923,129,7,2021,2023
2095,Air Conditioner,Leaking,1/8/2023,1935,890,3,2022,2027
2149,Air Conditioner,Overheating,6/5/2024,1841,376,5,2014,2019
2026,Mini Fridge,Flickering,1/19/2025,4832,148,24,2019,2021
2094,Coffee Maker,Flickering,12/5/2024,2058,193,12,2017,2020
2148,Air Conditioner,Not working,6/10/2023,2803,738,5,2014,2019
2115,Coffee Maker,Overheating,3/24/2024,2237,450,5,2014,2017
2059,Mini Fridge,Leaking,1/7/2023,3063,892,4,2019,2023
2081,Mini Fridge,Not working,12/12/2024,4392,186,23,2023,2026
2115,Television,Low performance,6/6/2023,2744,741,3,2023,2027
2084,Lamp,Low performance,6/29/2024,3612,353,10,2014,2016
2113,Heater,Leaking,4/24/2023,4171,785,5,2017,2020
2112,Hair Dryer,Overheating,4/18/2023,2830,790,4,2020,2022
2070,Hair Dryer,Flickering,8/6/2023,2093,680,3,2021,2023
2027,Lamp,Not working,2/15/2025,925,121,8,2021,2023
2016,Lamp,Noisy,6/3/2025,544,13,24,2023,2025
2139,Lamp,Not working,5/26/2023,1034,752,2,2016,2018
2122,Coffee Maker,Not working,2/12/2023,4310,856,5,2015,2018
2145,Heater,Unresponsive,4/3/2025,2033,74,24,2017,2020
2150,Mini Fridge,Leaking,6/18/2023,13747,729,19,2020,2022
2050,Television,Unresponsive,1/22/2025,3461,146,24,2022,2026
2100,Hair Dryer,Overheating,12/12/2023,2568,552,4,2019,2021
2033,Television,Noisy,12/9/2024,1347,190,8,2015,2019
2059,Mini Fridge,Leaking,5/24/2024,2293,389,5,2018,2022
2084,Heater,Overheating,4/24/2024,2956,419,7,2016,2019
2007,Coffee Maker,Low performance,10/4/2023,831,622,2,2023,2026
2094,Air Conditioner,Noisy,10/6/2024,4909,254,22,2017,2022
2082,Hair Dryer,Flickering,6/27/2023,1237,720,2,2019,2021
2115,Heater,Low performance,9/9/2024,4678,281,16,2014,2017
2145,Television,Not working,4/12/2024,2041,431,5,2020,2024
2121,Television,Unresponsive,9/10/2023,1718,646,3,2021,2025
2132,Television,Not working,12/24/2023,2652,541,5,2022,2026
2062,Coffee Maker,Unresponsive,10/11/2023,1935,614,3,2017,2020
2144,Coffee Maker,Leaking,4/26/2023,718,782,1,2017,2020
2037,Air Conditioner,Low performance,3/26/2023,4511,814,5,2014,2019
2070,Hair Dryer,Noisy,6/16/2025,4896,1,24,2022,2024
2107,Coffee Maker,Overheating,4/10/2025,2733,68,24,2020,2023
2111,Mini Fridge,Low performance,2/6/2025,4084,131,24,2021,2023
2014,Mini Fridge,Flickering,7/29/2024,2022,323,7,2014,2019
2034,Hair Dryer,Not working,11/18/2024,869,211,4,2015,2017
2086,Lamp,Unresponsive,12/9/2024,1749,190,8,2016,2018
2147,Hair Dryer,Flickering,3/25/2025,2905,83,24,2018,2020
2038,Television,Noisy,4/10/2024,4102,432,9,2019,2023
2013,Lamp,Not working,1/20/2024,3637,513,7,2014,2016
2051,Hair Dryer,Leaking,1/2/2023,4201,897,4,2016,2018
2012,Mini Fridge,Overheating,10/6/2024,2605,254,12,2021,2025
2145,Television,Low performance,10/7/2023,3417,619,6,2017,2021
2014,Mini Fridge,Noisy,5/17/2025,853,30,24,2023,2026
2004,Air Conditioner,Flickering,3/26/2025,2946,82,24,2016,2021
2036,Mini Fridge,Flickering,10/6/2023,4062,619,7,2019,2023
2070,Mini Fridge,Flickering,10/17/2024,719,243,3,2024,2027
2150,Heater,Not working,1/8/2024,1449,526,2,2016,2019
2146,Mini Fridge,Leaking,12/20/2024,3905,178,21,2020,2022
2048,Television,Overheating,3/22/2023,1380,817,2,2015,2019
2124,Heater,Overheating,1/5/2024,1939,529,4,2024,2027
2048,Hair Dryer,Leaking,8/28/2023,2447,658,4,2015,2017
2007,Mini Fridge,Noisy,3/2/2024,605,471,2,2019,2023
2045,Mini Fridge,Not working,2/11/2025,4508,126,24,2023,2026
2067,Lamp,Unresponsive,1/5/2025,4804,162,24,2018,2020
2134,Hair Dryer,Flickering,7/27/2024,4572,325,15,2020,2022
2019,Heater,Overheating,2/19/2024,1128,484,2,2016,2019
2096,Television,Flickering,7/30/2023,2007,688,3,2024,2028
2123,Lamp,Leaking,6/29/2023,2924,718,5,2014,2016
2007,Coffee Maker,Leaking,3/8/2025,3334,100,24,2022,2025
2032,Heater,Flickering,11/25/2024,3231,204,15,2016,2019
2004,Coffee Maker,Low performance,10/5/2024,2857,255,10,2024,2027
2014,Lamp,Low performance,7/10/2023,3517,707,5,2024,2026
2123,Television,Low performance,7/10/2024,2906,342,8,2024,2028
2003,Hair Dryer,Low performance,4/8/2023,4381,801,5,2024,2026
2149,Hair Dryer,Overheating,10/28/2024,1245,232,6,2022,2024
2139,Lamp,Not working,10/29/2023,3277,596,5,2021,2023
2090,Mini Fridge,Noisy,1/7/2025,941,160,7,2019,2024
2013,Heater,Leaking,1/7/2023,2474,891,3,2018,2021
2075,Coffee Maker,Overheating,6/12/2023,3879,735,6,2023,2026
2082,Heater,Overheating,3/11/2024,4714,463,10,2016,2019
2131,Heater,Noisy,4/5/2025,4030,73,24,2023,2026
2069,Television,Overheating,10/24/2023,4686,601,9,2024,2028
2059,Heater,Overheating,2/17/2025,3378,120,24,2024,2027
2003,Television,Not working,1/9/2023,4276,889,5,2017,2021
2069,Coffee Maker,Flickering,1/3/2023,2857,895,4,2023,2026
2020,Hair Dryer,Overheating,9/8/2023,2814,647,5,2019,2021
2092,Lamp,Overheating,6/21/2024,3915,361,10,2015,2017
2025,Coffee Maker,Low performance,4/29/2025,3944,49,24,2016,2019
2045,Television,Unresponsive,6/27/2024,1083,354,3,2016,2020
2032,Coffee Maker,Leaking,11/3/2024,4337,225,20,2022,2025
2073,Television,Flickering,3/3/2024,2376,470,4,2017,2021
2022,Heater,Leaking,10/8/2023,4836,618,8,2017,2020
2064,Lamp,Noisy,1/30/2025,1826,137,16,2015,2017
2150,Heater,Flickering,12/8/2024,2756,191,14,2022,2025
2148,Television,Noisy,11/23/2024,2449,206,11,2015,2019
2001,Air Conditioner,Overheating,1/31/2023,2783,868,3,2015,2020
2038,Mini Fridge,Flickering,8/31/2024,845,289,3,2021,2025
2144,Air Conditioner,Not working,8/25/2024,3859,295,14,2022,2027
2080,Coffee Maker,Not working,9/15/2024,2707,275,11,2024,2027
2015,Hair Dryer,Unresponsive,4/14/2025,824,63,11,2015,2017
2008,Heater,Unresponsive,3/12/2023,2116,827,2,2024,2027
2147,Heater,Unresponsive,6/8/2025,2343,9,23,2022,2025
2065,Heater,Overheating,12/6/2023,4758,559,8,2022,2025
2113,Mini Fridge,Noisy,2/10/2025,3398,126,24,2017,2021
2018,Hair Dryer,Overheating,2/21/2023,2054,847,2,2020,2022
2049,Air Conditioner,Unresponsive,9/10/2024,891,280,3,2014,2019
2002,Heater,Not working,5/24/2023,678,754,1,2021,2024
2021,Hair Dryer,Overheating,5/24/2025,1560,23,24,2019,2021
2083,Mini Fridge,Leaking,5/13/2025,3779,35,24,2018,2020
2063,Lamp,Overheating,11/10/2023,3496,585,6,2023,2025
2046,Air Conditioner,Unresponsive,5/12/2024,2892,401,7,2014,2019
2056,Television,Overheating,7/3/2024,2766,349,7,2023,2027
2066,Mini Fridge,Leaking,3/1/2025,3631,108,24,2015,2017
2105,Air Conditioner,Noisy,9/6/2023,975,650,2,2016,2021
2053,Air Conditioner,Unresponsive,6/22/2023,4508,725,6,2020,2025
2081,Air Conditioner,Low performance,7/26/2024,3215,325,9,2014,2019
2120,Television,Unresponsive,7/2/2023,1692,715,2,2024,2028
2075,Lamp,Noisy,3/25/2025,3738,84,24,2017,2019
2064,Mini Fridge,Not working,10/9/2023,3949,616,6,2021,2026
2125,Lamp,Unresponsive,5/7/2025,5071,40,24,2022,2024
2090,Mini Fridge,Unresponsive,11/11/2024,3225,217,14,2024,2027
2013,Coffee Maker,Overheating,8/13/2024,1987,307,7,2020,2023
2136,Air Conditioner,Unresponsive,3/10/2025,2823,99,24,2020,2025
2148,Coffee Maker,Flickering,12/29/2024,1288,170,7,2016,2019
2049,Lamp,Overheating,4/15/2024,2343,428,5,2015,2017
2028,Heater,Flickering,6/4/2024,1734,377,5,2023,2026
2102,Hair Dryer,Overheating,11/11/2023,4712,583,8,2022,2024
2013,Air Conditioner,Unresponsive,10/26/2024,2539,234,10,2015,2020
2087,Lamp,Not working,6/4/2025,3591,13,24,2019,2021
2095,Lamp,Overheating,4/2/2025,2646,76,24,2016,2018
2056,Lamp,Unresponsive,12/27/2023,5019,537,9,2024,2026
2090,Television,Unresponsive,1/17/2023,4463,881,5,2015,2019
2146,Television,Noisy,4/1/2025,4596,76,24,2017,2021
2093,Mini Fridge,Low performance,10/10/2023,4745,616,8,2019,2021
2095,Coffee Maker,Low performance,2/26/2024,2947,476,6,2019,2022
